dependency,label,project_language,count
threadpoolctl,Software,Python,65
nbclient,RIS,Python,65
jsonlite,Data analytics,R,65
tabulate,UI,Python,64
mistune,Software,Python,64
license,RIS,Python,64
appnope,Software,Python,63
fastjsonschema,Software,Python,63
pydata-sphinx-theme,Software,Python,63
pandocfilters,Software,Python,62
pydantic,Software,Python,62
sphinxcontrib-bibtex,RIS,Python,62
markdown-it-py,Software,Python,61
MASS,Data analytics,R,61
tinycss2,Software,Python,60
virtualenv,Software,Python,60
mdurl,Software,Python,59
jupyterlab-pygments,Software,Python,58
pathspec,Software,Python,58
scikit-image,Data analytics,Python,58
distlib,Software,Python,57
pytest-xdist,Software,Python,57
isort,Software,Python,56
pyarrow,RIS,Python,56
Sphinx,RIS,C++,56
shapely,Modeling and simulation,Python,56
shiny,UI,R,55
sniffio,Software,Python,55
twine,Software,Python,55
scales,Data analytics,R,55
sf,Data analytics,R,55
notebook,UI,Python,54
mypy-extensions,Software analytics,Python,54
anyio,Software,Python,54
cli,UI,R,53
importlib-resources,Software,Python,53
sympy,Modeling and simulation,Python,53
geopandas,Data analytics,Python,53
mkdocs-material,UI,Python,52
dill,Software,Python,52
wheel,Software,Python,52
PyYAML,RIS,Python,52
withr,Process,R,52
openpyxl,Data analytics ,Python,51
mkdocs,UI,Python,50
nodeenv,Software,Python,50
toml,RIS,Python,50
jupyterlab,UI ,Python,49
cfgv,Software,Python,49
curl,Software,R,49
future,Software,R,49
httr,Software,R,49
identify,Software,Python,49
bUIld,Software,Python,48
furo,Software,Python,48
Matrix,Modeling and simulation,R,48
h11,Software,Python,47
readr,RIS,R,47
repository,,Python,47
sphinx-gallery,RIS,Python,46
Pillow,Data analytics,Python,46
statsmodels,Data analytics,Python,46
jax,Modeling and simulation,Python,45
widgetsnbextension,UI,Python,44
httpx,Software,Python,44
myst-nb,RIS,Python,44
sphinx-design,RIS,Python,44
igraph,Data analytics,R,44
recommonmark,RIS,Python,43
sphinx-autodoc-typehints,RIS,Python,43
jupyterlab-widgets,UI,Python,42
pylint,Software analytics,Python,42
parallel,Process,R,42
graphics,Data analytics,R,42
prometheus-client,Software,Python,41
lxml,RIS,Python,41
arrow,Software,Python,40
grDevices,Data analytics,R,40
lubridate,Data analytics,R,40
terminado,UI,Python,39
types-python-dateutil,Software,Python,39
spelling,RIS,R,39
argon2-cffi,Software,Python,38
cython,Software,Python,38
httpcore,Software,Python,38
mdit-py-plugins,Software,Python,38
sqlalchemy,Software,Python,38
websocket-client,Software,Python,38
pandoc,RIS,Python,38
pytest-mock,Process,Python,38
opencv-python,Data analytics,Python,38
argon2-cffi-bindings,Software,Python,37
jsonpointer,Software,Python,37
lifecycle,Software,R,37
pywinpty,Software,Python,37
tidyselect,Software,R,37
glue,RIS,R,37
pooch,Process,Python,37
jupyter-server,Software,Python,36
overrides,Software,Python,36
rfc3339-validator,Software,Python,36
webcolors,Software,Python,36
pymdown-extensions,RIS,Python,36
send2trash,Process,Python,36
RColorBrewer,Data analytics,R,36
annotated-types,Software,Python,35
jaxlib,Software,Python,35
python-json-logger,Software,Python,35
rfc3986-validator,Software,Python,35
sphinx-autobUIld,Process,Python,35
dask,Data analytics,Python,35
imageio,Data analytics,Python,35
jupyter-server-terminals,UI,Python,34
codecov,Software analytics,Python,34
fqdn,Software,Python,34
isoduration,Software,Python,34
jupyter-events,Software,Python,34
notebook-shim,Software,Python,34
pydantic-core,Software,Python,34
uri-template,Software,Python,34
watchdog,Software,Python,34
xml2,RIS,R,34
sphinxcontrib-jquery,Process,Python,34
pycodestyle,Software analytics,Python,33
json5,Software,Python,33
fsspec,RIS,Python,33
sphinx-book-theme,RIS,Python,33
hypothesis,Process,Python,33
pyproj,Data analytics,Python,33
keywords,,Python,33
devtools,Process,R,32
mpmath,Modeling and simulation,Python,32
mccabe,Software analytics,Python,31
classifiers,Software,Python,31
fs,Software,R,31
greenlet,Software,Python,31
jupyterlab-server,Software,Python,31
documentation,RIS,Python,31
sphinx-autoapi,RIS,Python,31
Doxygen,Software analytics,C++,30
Jinja2,Software,Python,30
tox,RIS,Python,30
jupytext,Process,Python,30
netcdf4,Data analytics,Python,30
homepage,,Python,30
src,,C++,30
pyflakes,Software analytics,Python,29
checkmate,Software,R,29
protobuf,Software,Python,29
R6,Software,R,29
typing_extensions,Software,Python,29
cloudpickle,RIS,Python,29
mkdocstrings,Process,Python,29
jupyter-lsp,UI,Python,28
async-lru,Software,Python,28
more-itertools,Software,Python,28
pybind11,Software,C++,28
python-dotenv,Software,Python,28
appdirs,RIS,Python,28
vdiffr,RIS,R,28
mkdocstrings-python,Process,Python,28
cachetools,Data analytics,Python,28
gridExtra,Data analytics,R,28
rasterio,Data analytics,Python,28
stringi,Data analytics,R,28
ipython-pygments-lexers,Software,Python,27
Rdpack,RIS,R,27
ghp-import,Process,Python,27
grid,Data analytics,C++,27
tensorflow,Data analytics,Python,27
tests,,C++,27
Boost,Software,C++,26
pip,Software,Python,26
regex,Software,Python,26
wrapt,Software,Python,26
bokeh,Data analytics,Python,26
reshape2,Data analytics,R,26
test,,C++,26
uvicorn,UI,Python,25
assertthat,Software,R,25
msgpack,Software,Python,25
tomlkit,Software,Python,25
sphinxcontrib-napoleon,RIS,Python,25
mkdocs-material-extensions,Process,Python,25
MPI,Hardware,C++,25
OpenMP,Hardware,C++,25
torchvision,Data analytics,Python,25
DT,UI,R,24
websockets,UI,Python,24
mergedeep,Software,Python,24
tenacity,Software,Python,24
toolz,Software,Python,24
htmltools,RIS,R,24
foreach,Process,R,24
RcppEigen,Modeling and simulation,R,24
tensorboard,Data analytics,Python,24
aiohttp,Software,Python,23
digest,Software,R,23
mock,Software,Python,23
pyyaml-env-tag,Software,Python,23
vctrs,Software,R,23
chardet,RIS,Python,23
pybtex,RIS,Python,23
coveralls,Process,Python,23
mpi4py,Modeling and simulation,Python,23
packages,,Python,23
crayon,UI,R,22
tools,Software,C++,22
usethis,Process,R,22
corner,Data analytics,Python,22
netCDF4,Data analytics,Python,22
nibabel,Data analytics,Python,22
pint,Data analytics,Python,22
pymatgen,Data analytics,Python,22
terra,Data analytics,R,22
mkdocs-autorefs,UI,Python,21
pickleshare,UI,Python,21
progress,UI,Python,21
starlette,UI,Python,21
astroid,Software analytics,Python,21
cryptography,Software,Python,21
sortedcontainers,Software,Python,21
myst_parser,RIS,Python,21
narwhals,RIS,Python,21
watchfiles,Process,Python,21
ape,Data analytics,R,21
plyr,Data analytics,R,21
multiprocess,Software,Python,20
paginate,Software,Python,20
py,Software,Python,20
et-xmlfile,RIS,Python,20
rstudioapi,Process,R,20
h5netcdf,Data analytics,Python,20
mgcv,Data analytics,R,20
patchwork,Data analytics,R,20
gitpython,Software analytics,Python,19
execnet,Software,Python,19
termcolor,Software,Python,19
typer,Software,Python,19
distributed,RIS,Python,19
latexcodec,RIS,Python,19
readxl,RIS,R,19
sphinx_design,RIS,Python,19
tifffile,RIS,Python,19
xlrd,RIS,Python,19
sphinx_copybutton,RIS,Python,19
forcats,Data analytics,R,19
accessible-pygments,UI,Python,18
jupyter-console,UI,Python,18
Pygments,UI,Python,18
PyQt5,UI,Python,18
werkzeug,UI,Python,18
backcall,Software,Python,18
doParallel,Software,R,18
generics,Software,R,18
graphviz,Software,Python,18
llvmlite,Software,Python,18
pydocstyle,Software,Python,18
typing-inspection,Software,Python,18
vtk,Software,Python,18
roxygen2,RIS,R,18
mkdocs-get-deps,Process,Python,18
mkdocs-jupyter,Process,Python,18
biopython,Modeling and simulation,Python,18
pyqtgraph,Data analytics ,Python,18
ggrepel,Data analytics,R,18
kaleido,Data analytics,Python,18
leaflet,Data analytics,R,18
lme4,Data analytics,R,18
opt-einsum,Data analytics,Python,18
patsy,Data analytics,Python,18
shinyjs,UI,R,17
absl-py,Software,Python,17
loguru,Software,Python,17
callr,RIS,R,17
kableExtra,RIS,R,17
sphinx-argparse,RIS,Python,17
sphinx-automodapi,RIS,Python,17
RcppArmadillo,Modeling and simulation,R,17
cowplot,Data analytics,R,17
mvtnorm,Data analytics,R,17
examples,,C++,17
Python,,C++,17
flask,UI,Python,16
Cython,Software,Python,16
MarkupSafe,Software,Python,16
pywin32-ctypes,Software,Python,16
rvest,Software,R,16
tables,Software,Python,16
types-requests,Software,Python,16
jupyter-book,RIS,Python,16
pybtex-docutils,RIS,Python,16
yaml,RIS,R,16
griffe,Process,Python,16
memoise,Process,R,16
arviz,Data analytics,Python,16
broom,Data analytics,R,16
emcee,Data analytics,Python,16
psych,Data analytics,R,16
raster,Data analytics,R,16
survival,Data analytics,R,16
uncertainties,Data analytics,Python,16
xgboost,Data analytics,Python,16
jupyter-cache,UI,Python,15
gitdb,Software analytics,Python,15
abind,Software,R,15
htmlwidgets,Software,R,15
httr2,Software,R,15
itsdangerous,Software,Python,15
linkify-it-py,Software,Python,15
openssl,Software,R,15
pandas-stubs,Software,Python,15
qtpy,Software,Python,15
smmap,Software,Python,15
astroquery,RIS,Python,15
datasets,RIS,Python,15
m2r2,RIS,Python,15
meshio,RIS,Python,15
optional,RIS,Python,15
processx,RIS,R,15
rappdirs,RIS,R,15
xyzservices,RIS,Python,15
numexpr,Modeling and simulation,Python,15
glmnet,Data analytics,R,15
